7,a
9,a
7,a
12,a
6,a
9,s
7,a
10,a
12,a
7,a
6,a
6,a
7,a
6,a
7,a
7,a
11,a
5,a
3,a
4,b
6,a
6,a
8,b
6,a
7,a
3,a
4,a
7,a
6,a
3,a
9,a
5,a
7,a
7,a
7,a
7,b
6,a
7,a
7,a
6,a
7,a
6,a
8,a
6,a
2,a
7,a
6,a
4,a
1,a
10,a
5,a
6,a
9,a
6,a
7,a
7,a
8,a
7,a
4,a
0,s
7,a
4,a
8,a
3,a
6,a
6,a
3,a
5,a
7,a
4,a
4,a
7,a
7,a
8,a
6,a
6,a
8,a
7,a
4,a
8,a
10,a
4,a
6,a
5,a
8,a
7,a
8,a
6,b
7,a
6,a
6,a
6,a
6,s
7,b
6,a
7,a
5,a
6,a
6,a
6,a
7,a
8,a
7,a
6,s
7,a
4,a
11,a
7,a
7,s
5,a
6,a
6,a
5,a
7,a
7,a
9,a
5,a
7,a
6,s
5,a
7,a
6,a
4,a
7,a
9,a
3,a
6,a
6,a
7,s
6,a
1,a
3,a
5,a
7,a
8,a
7,a
7,a
7,a
7,a
6,a
7,a
8,a
5,a
8,a
7,a
4,a
4,a
7,a
6,s
7,a
4,a
6,a
5,b
6,s
8,a
5,a
5,b
6,b
6,a
8,a
4,a
7,a
7,a
6,a
7,b
8,a
9,a
6,s
4,a
10,a
5,a
7,b
7,a
6,a
8,a
7,a
7,a
6,a
6,a
8,a
7,a
7,a
7,a
5,a
8,a
8,a
4,b
11,a
7,a
6,a
5,a
8,a
7,a
6,a
8,a
9,a
8,a
5,a
7,a
6,a
5,a
7,a
7,b
6,a
7,a
8,a
5,a
8,a
6,a
7,a
6,a
5,a
8,a
10,a
8,a
8,a
7,a
5,a
6,a
8,b
0,a
4,a
7,a
4,a
8,a
6,a
6,a
7,a
7,a
3,a
8,a
7,a
7,a
9,a
6,a
9,b
4,a
5,a
3,a
9,a
7,a
7,a
7,a
7,a
4,a
5,a
7,a
6,a
6,a
5,a
-6,a
3,a
7,a
7,a
9,a
6,a
7,a
7,a
3,a
7,a
7,a
5,a
7,a
9,a
6,b
6,a
8,a
0,b
4,a
5,a
7,a
7,a
7,a
5,a
5,a
4,a
7,b
9,a
6,a
8,a
4,s
7,a
6,a
6,a
7,a
5,a
5,a
7,a
8,a
4,b
6,a
6,a
7,a
2,a
9,a
3,a
7,s
8,a
7,a
5,a
3,a
7,b
3,b
7,a
11,a
7,a
7,a
4,a
9,a
5,a
5,a
4,b
6,a
5,a
7,a
9,a
6,a
9,a
7,a
8,a
8,a
4,a
6,a
3,a
7,a
6,a
6,a
9,a
4,a
6,a
6,s
4,a
6,a
2,a
7,a
6,a
6,s
3,a
4,a
6,a
7,b
6,a
9,a
6,a
6,a
6,a
8,a
7,a
15,a
7,a
4,a
6,a
5,a
5,a
4,a
8,a
6,b
8,b
7,b
7,a
8,a
0,a
9,a
7,a
6,a
7,a
7,a
4,a
7,a
6,a
4,a
7,a
7,b
8,a
8,a
6,b
7,a
7,a
9,a
7,a
-3,a
9,a
6,a
9,s
4,a
7,a
0,b
7,a
7,a
6,a
2,a
5,a
9,a
6,b
4,a
10,a
5,a
8,a
6,a
4,a
8,a
7,a
9,a
6,a
0,a
9,a
5,a
4,a
7,a
8,a
6,a
4,b
4,a
7,s
8,a
8,a
6,a
7,a
7,a
6,a
4,a
0,a
7,a
6,a
5,a
8,a
6,a
6,a
6,a
8,a
6,a
6,a
6,a
4,b
11,a
8,a
6,a
1,a
6,a
6,b
6,a
6,a
8,a
5,a
7,a
3,a
7,b
7,a
7,a
5,a
2,a
5,a
7,a
6,a
7,s
7,a
8,a
3,a
5,a
4,b
9,a
5,a
7,a
3,a
5,a
7,a
6,a
9,a
5,a
0,a
6,a
8,a
6,a
6,s
6,a
5,a
7,a
6,a
10,a
7,a
6,s
6,a
7,b
6,a
7,a
7,a
6,a
6,a
5,a
7,a
6,a
8,a
6,a
7,a
5,a
3,a
7,a
7,a
7,a
4,a
14,a
7,a
6,a
2,a
6,a
6,b
4,a
9,a
